Name,% Docs Cited,Web of Science Documents,Collab-CNCI,Rank,Times Cited,Affiliation,Web of Science ResearcherID,Category Normalized Citation Impact,ORCID,All Open Access Documents,Non-Open Access Documents,% All Open Access Documents,H-Index,% Non-Open Access Documents,Hot Papers
"Wakimoto, Diana",100.0,1,0.1696,126,1,California State University East Bay; California State University System; Calif State Univ; CA State Univ; Calif State Univ Hayward; Queensland University of Technology (QUT); San Jose QUT Gateway Program; San Jose State University,DZO-6821-2022,0.1154,0000-0001-7358-3874,0,1,0.0,1,100.0,0
"Watson, Carol A.",100.0,1,0.0713,126,1,Cavan Monaghan Mental Hlth Serv; Bristol Myers Squibb Res & Early Dev; Bristol-Myers Squibb; University of Georgia; University System of Georgia; University of Iowa,DYK-2019-2022,0.1027,0000-0001-9830-5416,0,1,0.0,1,100.0,0
"Schultz, Lois",100.0,1,0.0521,126,1,Northern Kentucky University; Case Western Reserve University; University Hospitals of Cleveland; University System of Ohio,DQA-9423-2022,0.052500000000000005,,0,1,0.0,1,100.0,0
"Ordonez-Cocovi, Elvira",100.0,1,0.07100000000000001,126,1,University of Sevilla,DJP-9725-2022,0.046200000000000005,,1,0,100.0,1,0.0,0
"Burke, Susan",100.0,1,0.0381,126,1,University of Northern British Columbia; University of Oklahoma - Norman; University of Oklahoma System,EPL-3604-2022,0.0448,,1,0,100.0,1,0.0,0
"Dabney, L. Cindy",100.0,1,0.0713,126,1,Indiana University Bloomington; Indiana University System,DXF-6008-2022,0.1027,0000-0002-1235-4063,0,1,0.0,1,100.0,0
"Lawson, Emily",100.0,1,0.0713,126,1,RAND Corporation; University of Melbourne; King's College Hospital NHS Foundation Trust; Southern Illinois University; Southern Illinois University System; University of Arizona; University of Houston; University of Houston System,DCA-4081-2022,0.1027,0000-0003-4937-1884,0,1,0.0,1,100.0,0
"Sommer, Jamie N.",100.0,1,0.0713,126,1,State University of New York (SUNY) System; Northwestern University; Hop Chablais; Rensselaer Polytech Inst,DSA-3670-2022,0.1027,,0,1,0.0,1,100.0,0
"Striepe, T. J.",100.0,1,0.0713,126,1,University of Georgia; University System of Georgia,GDX-7732-2022,0.1027,,0,1,0.0,1,100.0,0
"Nicolajsen, Hanne Westh",100.0,1,0.1356,126,1,IT University Copenhagen; Aalborg University,DWV-3069-2022,0.1328,0000-0002-0158-5034,0,1,0.0,1,100.0,0
"Johnson, Liz McCurry",100.0,1,0.0713,126,1,Wake Forest University; YBP Lib Serv,CXJ-9179-2022,0.1027,,0,1,0.0,1,100.0,0
"Shafique, Farzana",100.0,1,0.1903,126,1,Imam Abdulrahman Bin Faisal University; Islamia University of Bahawalpur; Islamia Univ Bahawalpur; Islama Univ Bahawalpur; Al Akhdar Educ Movement; University of Punjab,GAA-3829-2022,0.5436,,0,1,0.0,1,100.0,0
"Smith, Kelly",100.0,1,0.0521,126,1,Eastern Kentucky University; University of North Carolina; University of North Carolina Chapel Hill,DXO-7476-2022,0.052500000000000005,0000-0002-7215-2586,0,1,0.0,1,100.0,0
"Strothmann, Molly",100.0,1,0.0381,126,1,Oklahoma State University - Stillwater; Oklahoma State University System; Univ Oklahoma Lib; University of Oklahoma - Norman; University of Oklahoma System,GEJ-4783-2022,0.0448,,1,0,100.0,1,0.0,0
"Runyon, Amanda",100.0,1,0.0713,126,1,University of Pennsylvania; University of Michigan; University of Michigan System; University of Texas Austin; University of Texas System,DPN-5684-2022,0.1027,,0,1,0.0,1,100.0,0
"Megerman, Shira",100.0,1,0.0713,126,1,University of Florida; State University System of Florida,FQJ-5044-2022,0.1027,,0,1,0.0,1,100.0,0
"Millan, Laura N. Fadrique",100.0,1,0.07100000000000001,126,1,Hospital del Rio Hortega; Dr Jose Molina Orosa Hosp; University of Basque Country; OWL; Owl Metabol; University of Sevilla,KHS-1489-2024,0.046200000000000005,,1,0,100.0,1,0.0,0
"Showers, Kristi",0.0,1,0.0,152,0,Springer,FWI-8611-2022,0.0,,1,0,100.0,0,0.0,0
"Janicki, Megan",0.0,1,0.0,152,0,Amer Lib Assoc,CWX-1415-2022,0.0,,0,1,0.0,0,100.0,0
"Koulouris, Alexandros",0.0,1,0.0,152,0,University of West Attica; Veria Cent Publ Lib; Vienna Univ Technol,AAZ-8002-2021,0.0,0000-0002-4011-2678,0,1,0.0,0,100.0,0
"Estrada, Carlos R",0.0,1,0.0,152,0,Harvard Medical School; Boston Children's Hospital; Harvard University; Harvard University Medical Affiliates; Universidad de Guadalajara; INPRFM,H-2199-2015,0.0,,0,1,0.0,0,100.0,0
"Alidousti, Sirous",0.0,1,0.0,152,0,Iranian Res Inst Informat Sci & Technol Irandoc; Iranian Res Inst Informat Sci & Technol IranDoc; Iranian Res Inst Informat Sci & Technol; Iranian Res Inst Sci Informat & Documentat; Iranian Res Inst Sci Informat & Documentat IranDo,G-5659-2015,0.0,0000-0002-2287-4724,1,0,100.0,0,0.0,0
"Buljubasic, Iva",0.0,1,0.0,152,0,University of JJ Strossmayer Osijek; Acad Arts & Culture Osijek; Dept Cultural Studies Osijek; JJ Strossamyer Univ Osijek; AC Buljubasic Ltd,KPA-8258-2024,0.0,,0,1,0.0,0,100.0,0
"BasirianJahromi, Reza",0.0,1,0.0,152,0,Bushehr Univ Med Sci; Shahid Chamran University of Ahvaz,AAH-7570-2021,0.0,0000-0002-8170-5728,0,1,0.0,0,100.0,0
"Guo, Qingrong",0.0,1,0.0,152,0,Yantai University; Xinjiang University; Environm Monitoring Ctr Guangdong Prov; Wuhan University of Technology,EYW-4842-2022,0.0,,0,1,0.0,0,100.0,0
"Briana, Maria",0.0,1,0.0,152,0,Harokopio University Athens; University of West Attica,CHO-9683-2022,0.0,,0,1,0.0,0,100.0,0
"Wang, Xuyan",0.0,1,0.0,152,0,82nd Grp Army Hosp Chinese Peoples Liberat Army; Beijing Normal University; Shanxi Hosp Integrated Tradit Chinese & Western Me; Key Lab Res & Dev Tradit Chinese Med Preparat; Shanxi Univ Tradit Chinese Med; Tianjin University; Lanzhou University; Huazhong University of Science & Technology; Wuhan University; Nanjing Res Inst Elect Technol; Zhengzhou University; State Grid Corporation of China; Xian Inst Space Radio Technol; Tianjin University of Technology; Beihua University; China Electronics Technology Group; Beijing University of Technology; Northwestern Polytechnical University,KMQ-5274-2024,0.0,0000-0003-1954-2603,0,1,0.0,0,100.0,0
"Richey, N",0.0,1,0.0,152,0,Western Kentucky University,FUI-7153-2022,0.0,,0,1,0.0,0,100.0,0
"Carrico, Steven B.",0.0,1,0.0,152,0,George A Smathers Lib; University of Florida; State University System of Florida,CHZ-1889-2022,0.0,,0,1,0.0,0,100.0,0
"Davis, Jim",0.0,1,0.0,152,0,Docuseek LLC,CMJ-4002-2022,0.0,,0,1,0.0,0,100.0,0
"Arthur, Michael",0.0,1,0.0,152,0,University of Alabama Tuscaloosa; University of Alabama System; University of Central Florida; State University System of Florida,HKK-3997-2023,0.0,0000-0002-7996-4915,1,0,100.0,0,0.0,0
"Shelton, Trey",0.0,1,0.0,152,0,University of Florida; State University System of Florida,FXF-2627-2022,0.0,,0,1,0.0,0,100.0,0
"Scali, Gemma",0.0,1,0.0,152,0,University of Macerata,MFB-9826-2025,0.0,,0,1,0.0,0,100.0,0
"Kaelin, Stephanie",0.0,1,0.0,152,0,,FCP-4016-2022,0.0,,1,0,100.0,0,0.0,0
"Lindell, Ann",0.0,1,0.0,152,0,University of Florida; State University System of Florida; Amer Lib Assoc,FIJ-5649-2022,0.0,,0,1,0.0,0,100.0,0
"McCleskey, S.",0.0,1,0.0,152,0,Cedars Sinai Medical Center; Hofstra University,DHU-6420-2022,0.0,,0,1,0.0,0,100.0,0
"McGinnis, R",0.0,1,0.0,152,0,Western Kentucky University; Med Ctr Hlth Educ & Dev; Wellcome Trust Sanger Institute,FLG-2082-2022,0.0,,0,1,0.0,0,100.0,0
"Davies, Beth",0.0,1,0.0,152,0,University of Sheffield; Sheffield Hallam University; University of London; Queen Mary University London; University of Brighton,HOR-0542-2023,0.0,,1,0,100.0,0,0.0,0
"Winterman, Brian",0.0,1,0.0,152,0,Indiana University Bloomington; Indiana University System,GJR-7581-2022,0.0,,0,1,0.0,0,100.0,0
"Kinder, Larry Sean",0.0,1,0.0,152,0,Western Kentucky University,FDN-2883-2022,0.0,,0,1,0.0,0,100.0,0
"Schulman, S.",0.0,1,0.0,152,0,Weill Cornell Medicine; Cornell University; New York Inst Humanities; Northwestern University; Lund University; College of Staten Island (CUNY); City University of New York (CUNY) System; Springer,DRT-5529-2022,0.0,,1,0,100.0,0,0.0,0
"Sahli, Farzane",0.0,1,0.0,152,0,Iranian Res Inst Informat Sci & Technol IranDoc; Iranian Res Inst Informat Sci & Technol Irandoc,FVJ-3463-2022,0.0,,1,0,100.0,0,0.0,0
"Li, Lei",0.0,1,0.0,152,0,Beijing Normal University,NLQ-3340-2025,0.0,,0,1,0.0,0,100.0,0
"Wu, Yuchen",0.0,1,0.0,152,0,"Xiamen University; Chongqing Medical University; Huazhong University of Science & Technology; Chinese Academy of Sciences; Institute of Microelectronics, CAS; Northeastern University - China; Tianjin Municipal Engn Sch; Shandong University of Science & Technology; University of Rochester; National Chung Hsing University; Chinese University of Hong Kong; Lanzhou Jiaotong University; Beijing Normal University; University of Science & Technology of China, CAS; Inner Mongolia University of Science & Technology; Shanghai Maritime University; Southwestern University of Finance & Economics - China; Southwest University - China; Zhejiang University; South China University of Technology; Shenzhen University; Renmin University of China; Kunming University of Science & Technology; Waseda University; Chang Gung University; University of Michigan; University of Michigan System; Dalian University of Technology; State Key Laboratory Surfactant Fine Chemistry; Anhui Science & Technology University; National Yang Ming Chiao Tung University; China University of Mining & Technology; National Taipei University of Technology; Chengdu University; MaxLinear, Inc.; Liaoning Petrochemical University; University of Ottawa; University of Waterloo; National University of Singapore; Wageningen University & Research",LOL-4364-2024,0.0,,0,1,0.0,0,100.0,0
"Liu, Zhao",0.0,1,0.0,152,0,Beijing Normal University,NMB-8173-2025,0.0,,0,1,0.0,0,100.0,0
